id,text,text_clean,label,sentiment_label,emotion,emotion_group,category,product_type,word_count,word_count_clean,length_bucket,helpfulness_score,implicit_flag,is_spam,language,baseline2_label_text
1,"My 3rd time ordering from here and all 3 times have been amazing! The shoes are the quality you expect from Adidas, in brand new, in box condition, amazing looking and at a unbeatable price. All 3 times now was shipped and delivered fast. I believe finding a better deal with better service would be next to impossible! Also if you have a question they actually respond to messages fast and friendly.",my 3rd time ordering from here and all 3 times have been amazing the shoes are the quality you expect from adidas in brand new in box condition amazing looking and at a unbeatable price all 3 times now was shipped and delivered fast i believe finding a better deal with better service would be next to impossible also if you have a question they actually respond to messages fast and friendly,2,positive,Relief,positive,Clothing & Sportswear,Shoes,72,72,long,0,0,0,en,positive
2,"I love shopping at the official Adidas online store, I will NOT get my Adidas sneakers anywhere else. They have great customer service communication skills. I bought the wrong size and they sent me a return label to my Gmail ASAP. The sneakers were returned and I was refunded promptly. I reordered my proper size and it was fast shipping, packaged with TLC, sneakers were as described with great quality, brand new in box, price is great... $40 for $130 sneakers. Thank you",i love shopping at the official adidas online store i will not get my adidas sneakers anywhere else they have great customer service communication skills i bought the wrong size and they sent me a return label to my gmail asap the sneakers were returned and i was refunded promptly i reordered my proper size and it was fast shipping packaged with tlc sneakers were as described with great quality brand new in box price is great 40 for 130 sneakers thank you,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,83,83,long,6,0,0,en,positive
3,"High quality item, new in box as advertised. Very stylish shoes that were true to size and at an unbeatable price (better than other online stores and Adidas outlets). Overall, the process was straightforward, shipping was fast, and communications were continuous from the time I ordered until the item was delivered. Great seller.",high quality item new in box as advertised very stylish shoes that were true to size and at an unbeatable price better than other online stores and adidas outlets overall the process was straightforward shipping was fast and communications were continuous from the time i ordered until the item was delivered great seller,2,positive,Relief,positive,Clothing & Sportswear,Shoes,53,53,long,2,0,0,en,positive
4,"These sneakers were of great quality, in new condition and were a great value for price. They were shipped quickly and were apparently new in box. My only concern was being sent the wrong size. Would definitely buy from this vendor again. Upon deciding to return the seller was quick to respond and to send the return label. They also maintained contact with me through the point that the received the product back at the original location.",these sneakers were of great quality in new condition and were a great value for price they were shipped quickly and were apparently new in box my only concern was being sent the wrong size would definitely buy from this vendor again upon deciding to return the seller was quick to respond and to send the return label they also maintained contact with me through the point that the received the product back at the original location,2,positive,Relief,positive,Clothing & Sportswear,Shoes,77,77,long,1,0,0,en,positive
5,"A Brad's Deal directed me here. I've not yet been able to utilize the shoes that I bought as I bought them for use this spring & summer. I will say the transaction was very fast, no sooner did I pay for them and I received notification that they were being shipped. It was only 2 days and they were here so I am very much grateful for that process They are new shoes & are as depicted. Overall very good transaction.",a brad's deal directed me here i've not yet been able to utilize the shoes that i bought as i bought them for use this spring summer i will say the transaction was very fast no sooner did i pay for them and i received notification that they were being shipped it was only 2 days and they were here so i am very much grateful for that process they are new shoes are as depicted overall very good transaction,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,82,80,long,0,0,0,en,positive
6,"I had a great experience purchasing my sneakers from eBay! The item arrived exactly as described, new condition, they look great and the quality is excellent. The price was awesome! The seller was responsive, professional, and shipped the shoes quickly with secure packaging. The entire process was smooth and hassle-free. I鈥檓 extremely happy with my purchase and would definitely buy from this seller again. Highly recommend!",i had a great experience purchasing my sneakers from ebay the item arrived exactly as described new condition they look great and the quality is excellent the price was awesome the seller was responsive professional and shipped the shoes quickly with secure packaging the entire process was smooth and hassle free i m extremely happy with my purchase and would definitely buy from this seller again highly recommend,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,66,68,long,0,0,0,en,positive
7,"Absolutely thrilled with purchase which was Great Quality & described. The sellers communication was outstanding-prompt, clear, and friendly. The item condition exceeded expectations in good value & appearance was even better than described. Packaging was meticulous, ensuring everything arrived safely. Shipping was fast and ahead of schedule. I'm genuinely impressed by the seller's dedication and professionalism. This has been a wonderful buying experience, and I highly recommend this seller.",absolutely thrilled with purchase which was great quality described the sellers communication was outstanding prompt clear and friendly the item condition exceeded expectations in good value appearance was even better than described packaging was meticulous ensuring everything arrived safely shipping was fast and ahead of schedule i'm genuinely impressed by the seller's dedication and professionalism this has been a wonderful buying experience and i highly recommend this seller,2,positive,Relief,positive,Clothing & Sportswear,Shoes,69,68,long,0,0,0,en,positive
8,"This is my 3rd order from Addidas and I continue to be impressed by the value and quick delivery. Despite only being a pair of shorts, they were shipped in a box for protection and arrived in perfect condition. We had 2 days of continuous snow prior to delivery, so it was all the more impressive to get them within in the delivery window (and much earlier than the original window). I am sure I will be using this vendor again.",this is my 3rd order from addidas and i continue to be impressed by the value and quick delivery despite only being a pair of shorts they were shipped in a box for protection and arrived in perfect condition we had 2 days of continuous snow prior to delivery so it was all the more impressive to get them within in the delivery window and much earlier than the original window i am sure i will be using this vendor again,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,81,81,long,4,0,0,en,positive
9,"猸愨瓙猸愨瓙猸?Absolutely fantastic experience with this seller! The item arrived much faster than I expected, and the packaging was incredibly secure and professional 鈥?everything was well-protected and in perfect condition. The product exactly matches the description provided in the listing; no surprises, just exactly what I needed. Communication with the seller was smooth and helpful. I really appreciate the level of care and attention to detail. Highly recommend this seller",absolutely fantastic experience with this seller the item arrived much faster than i expected and the packaging was incredibly secure and professional everything was well protected and in perfect condition the product exactly matches the description provided in the listing no surprises just exactly what i needed communication with the seller was smooth and helpful i really appreciate the level of care and attention to detail highly recommend this seller,2,positive,Relief,positive,Clothing & Sportswear,Shoes,71,70,long,1,0,0,en,positive
10,"Best price I could find on eBay. It arrived exactly as described. This A+ seller made sure to answer all of our questions, packaged carefully and shipped them immediately. I would certainly buy from this seller again. Thank you!",best price i could find on ebay it arrived exactly as described this a seller made sure to answer all of our questions packaged carefully and shipped them immediately i would certainly buy from this seller again thank you,2,positive,Relief,positive,Clothing & Sportswear,Shoes,39,39,long,2,0,0,en,positive
