id,text,text_clean,label,sentiment_label,emotion,emotion_group,category,word_count,word_count_clean,length_bucket,helpfulness_score,implicit_flag,is_spam,language,manual_label_normalized,vader_label,vader_compound,vader_pos_conf,vader_neu_conf,vader_neg_conf,transformer_label,transformer_confidence,transformer_score
2,So My shipment got tossed into a swamp Oh well tbh,so my shipment got tossed into a swamp oh well,0,negative,Sarcasm,negative,Sports & Outdoors,11,10,medium,1,1,0,en,negative,positive,0.2732,0.208,0.792,0.0,negative,0.9987775683403015,-0.9987775683403015
3,Wow The delivery got tossed into a puddle Oh well,the delivery got tossed into a puddle oh well,0,negative,Sarcasm,negative,Electronics,10,9,medium,4,1,0,en,negative,positive,0.2732,0.231,0.769,0.0,negative,0.9995386600494385,-0.9995386600494385
4,the  guy went to an accordion make of that what you will lol,the guy went to an accordion make of that what you will,0,negative,Frustration,negative,Electronics,13,12,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,positive,0.9952414035797119,0.9952414035797119
5,right so the guy spent a week in another state oh well wow,right so the guy spent a week in another state oh well,0,negative,Frustration,negative,Home & Kitchen,13,12,medium,0,1,0,en,negative,positive,0.2732,0.174,0.826,0.0,negative,0.9733068943023682,-0.9733068943023682
7,first off the package arrived looking like the neighbors trash cheers,first off the package arrived looking like the neighbors trash,0,negative,Sarcasm,negative,Clothing,11,10,medium,0,1,0,en,negative,positive,0.3612,0.217,0.783,0.0,negative,0.9996781349182129,-0.9996781349182129
8,listen  the delivery looked like it visited a swamp just putting it out there smh,listen the delivery looked like it visited a swamp just putting it out there,0,negative,Sarcasm,negative,Electronics,15,14,medium,2,1,0,en,negative,positive,0.3612,0.172,0.828,0.0,negative,0.9970525503158569,-0.9970525503158569
9,listen my shipment went to an accordion oh well wow,listen my shipment went to an accordion oh well,0,negative,Disappointment,negative,Automotive,10,9,medium,1,1,0,en,negative,positive,0.2732,0.208,0.792,0.0,negative,0.9819721579551697,-0.9819721579551697
10,First off The guy went to a swamp Take it or leave it ??,first off the guy went to a swamp take it or leave it,0,negative,Frustration,negative,Clothing,14,13,medium,1,1,0,en,negative,negative,-0.0516,0.0,0.902,0.098,negative,0.9980242252349854,-0.9980242252349854
11,The tracking was left near the next town over Just putting it out there hmm,the tracking was left near the next town over just putting it out there,0,negative,Disappointment,negative,Home & Kitchen,15,14,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.999707043170929,-0.999707043170929
12,Honestly The box was left near a puddle !!,honestly the box was left near a puddle,0,negative,Frustration,negative,Sports & Outdoors,9,8,medium,0,1,0,en,negative,positive,0.4588,0.333,0.667,0.0,negative,0.9995157718658447,-0.9995157718658447
